Batch,Cost
544,0.09213142477294908
545,0.10146402062060067
546,0.09091031238554809
547,0.1447983709350609
548,0.09571617571761842
549,0.08717672730662869
550,0.1247047635238024
551,0.09484330759848497
552,0.088425842834731
553,0.11892891408982695
554,0.08220021831815431
555,0.12945412612607382
556,0.14426508054045356
557,0.12328641979093657
558,0.12115387224140717
559,0.1290298953066454
560,0.11587483280686416
561,0.10171066456785413
562,0.10456160327334864
563,0.13577735626408352
564,0.09643377136140184
565,0.12319924121133217
566,0.12004539027677348
567,0.09146172224721781
568,0.12141370874843056
569,0.14101238330754007
570,0.10100690586187058
571,0.10495417884344427
572,0.12939327074580798
573,0.09069710626494404
574,0.10814756036434581
575,0.06187867146842625
576,0.1044603648894549
577,0.17591633222073724
578,0.13276049570422122
579,0.12281914179921123
580,0.0880363508879397
581,0.10867015493890897
582,0.13819594695551363
583,0.08039284184699494
584,0.11574879082526798
585,0.10868391249014288
586,0.08126935163220755
587,0.10665976522202737
588,0.12164920392738693
589,0.09685003854605556
590,0.11529562386431706
591,0.12848187128644895
592,0.12177849377381794
593,0.10561406833329555
594,0.1071053037406738
595,0.14263460896684305
596,0.1146457481742988
597,0.13427022725054674
598,0.09966551118593331
599,0.18001687109226794
600,0.10023038465881368
601,0.057508665177970576
602,0.11767614651459125
603,0.12326442333325593
604,0.08596365319585253
605,0.13630413622080742
606,0.12128819829634027
607,0.1012682488965456
608,0.11458569554597942
609,0.07817977662230598
610,0.08160688749218081
611,0.10043200531903215
612,0.0758946935793987
613,0.1122909661019825
614,0.09958280781521235
615,0.10734498369411699
616,0.15723924121639554
617,0.12601464030959156
618,0.10402578603058077
619,0.12307291507917671
620,0.10618583716256488
621,0.12779098219331797
622,0.11203693877314577
623,0.131151099392253
624,0.12281212299455006
625,0.09717473976069735
626,0.08750962207290802
627,0.11083180264464908
628,0.06584230648646708
629,0.09168225653518515
630,0.07383191074160068
631,0.12488496581278709
632,0.07807152764642952
633,0.12688395812638464
634,0.13684744665042026
635,0.12271684379411704
636,0.1038626625555712
637,0.08399111560623967
638,0.09758074722379549
639,0.1729996223705659
640,0.13867594264933597
641,0.12813967196395878
642,0.11771393210552442
643,0.11468932872517604
644,0.13872354177243967
645,0.10866761291859413
646,0.16019804073554653
647,0.093873789914259
648,0.09396744280161079
649,0.12278611909128616
650,0.16125317626033264
651,0.14860417280661203
652,0.10458687876282476
653,0.10926619782178022
654,0.10581008226487308
655,0.10957702333855622
656,0.12285231599144089
657,0.133800520069675
658,0.10595756871421448
659,0.11573754144820374
660,0.16115510101169148
661,0.09697850799941019
662,0.1301756130829533
663,0.08095401062789653
664,0.08267020992847852
665,0.06951571601141288
666,0.15358769608112996
667,0.08285275376200268
668,0.10666887894529341
669,0.0917293044689432
670,0.08474335767029201
671,0.12825135202200313
672,0.11489228143483597
673,0.10821130832361066
674,0.1150721032099942
675,0.11319187562603573
676,0.06393060986217214
677,0.08647921736574345
678,0.1006754202860821
679,0.10334732971546685
680,0.10907879159130729
681,0.162187115412789
682,0.08137150404544342
683,0.1129795666982527
684,0.08138228522521378
685,0.12014543010613016
686,0.15569026042860099
